RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,90 s,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Partidos
43,Luis Ángel Malagón,mx MEX,PO,Necaxa,25,1997,17.0,675,468,204,49,0,2,0,0,0,0,0,0,502,3,0,Partidos
44,Miguel Ángel Ponce,mx MEX,"DF,DL",Guadalajara,33,1989,1.4,62,51,11,3,0,2,2,8,0,0,0,0,54,0,0,Partidos
45,Brayan Angulo,co COL,DF,Toluca,32,1989,23.0,1670,1465,201,19,3,14,42,177,5,0,5,0,1465,4,19,Partidos
46,Jesús Angulo,mx MEX,"DF,CC",Guadalajara,25,1997,0.3,19,18,1,0,0,0,1,1,0,0,0,0,16,0,0,Partidos
47,Jesús Angulo,mx MEX,CC,León,25,1997,1.7,109,99,10,2,0,1,6,3,4,1,3,0,98,0,4,Partidos
48,Brayan Angulo Mosquera,co COL,CC,Toluca,29,1993,2.3,,,,,,,0,,,,,,,,,Partidos
49,Francisco Antonio Figueroa,mx MEX,"DL,CC",Pachuca,23,1999,5.6,214,206,8,0,1,0,52,8,0,0,0,0,161,0,8,Partidos
50,Francisco Antonio Figueroa,mx MEX,"CC,DL",Querétaro,23,1999,0.5,31,30,1,0,0,0,4,1,0,0,0,0,23,0,0,Partidos
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,90 s,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Partidos
51,Jorge Antonio Padilla,mx MEX,DF,Mazatlán,28,1993,12.9,669,531,138,4,0,0,35,134,0,0,0,0,463,0,34,Partidos
52,José Antonio Rodríguez,mx MEX,PO,Tijuana,30,1992,17.0,467,294,172,30,0,1,0,0,0,0,0,0,342,1,0,Partidos
53,José Antonio Rodríguez,mx MEX,PO,Querétaro,30,1992,8.0,230,145,85,18,0,0,0,0,0,0,0,0,170,0,0,Partidos
54,Uriel Antuna,mx MEX,"DL,CC",Cruz Azul,24,1997,28.9,830,797,27,2,2,4,86,20,0,0,0,0,627,6,32,Partidos
55,Javier Aquino,mx MEX,"DF,DL",UANL,32,1990,21.4,1247,1089,155,13,0,7,54,142,0,0,0,0,1024,3,22,Partidos
56,Pedro Aquino,pe PER,CC,América,27,1995,9.3,685,666,18,17,1,7,0,1,0,0,0,0,616,1,4,Partidos
57,Cristian Arango,co COL,"DL,CC",Pachuca,27,1995,5.3,110,101,8,2,3,0,5,1,0,0,0,0,73,1,7,Partidos
58,Ángelo Araos,cl CHI,CC,Necaxa,25,1997,10.4,310,306,4,0,1,3,20,2,2,0,0,0,224,0,12,Partidos
59,Maximiliano Araújo,uy URU,"CC,DF",Toluca,22,2000,16.2,700,631,67,1,1,5,39,63,3,0,2,0,549,2,19,Partidos
60,Maximiliano Araújo,uy URU,"CC,DF",Puebla,22,2000,14.6,414,382,30,0,1,3,63,14,16,9,2,0,285,2,19,Partidos
61,Néstor Araujo,mx MEX,DF,América,30,1991,20.1,909,889,18,14,0,7,2,4,0,0,0,0,760,2,8,Partidos
62,Fernando Arce Jr.,us USA,CC,FC Juárez,25,1996,4.9,107,107,0,0,0,2,0,0,0,0,0,0,90,0,5,Partidos
63,Fernando Arce Jr.,us USA,CC,Puebla,25,1996,1.3,50,45,5,4,0,1,2,1,0,0,0,0,36,0,3,Partidos
64,Fernando Aristeguieta,ve VEN,DL,Puebla,30,1992,2.8,81,78,3,0,0,0,0,0,0,0,0,0,50,0,0,Partidos
65,Rodrigo Armando González,mx MEX,DF,Atlético,27,1995,12.1,397,367,30,29,0,3,0,1,0,0,0,0,300,0,5,Partidos
66,Daniel Armando Ríos,mx MEX,DL,Guadalajara,27,1995,5.8,88,85,3,0,0,0,3,0,0,0,0,0,65,0,6,Partidos
67,Eduardo Armenta,mx MEX,CC,Tijuana,20,2001,5.3,201,199,1,1,1,0,4,0,0,0,0,0,151,1,6,Partidos
