RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,90 s,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Partidos
177,Juan Escobar,py PAR,DF,Cruz Azul,27,1995,26.2,1312,1193,118,57,1,11,12,61,0,0,0,0,1092,1,15,Partidos
178,Alonso Escoboza,mx MEX,"DF,CC",Cruz Azul,29,1993,4.6,194,160,34,11,0,2,18,21,2,0,2,0,128,0,3,Partidos
179,Amaury Escoto,mx MEX,"DL,CC",Puebla,29,1992,1.6,34,34,0,0,1,0,0,0,0,0,0,0,24,0,1,Partidos
180,Michael Estrada,ec ECU,DL,Cruz Azul,26,1996,9.3,147,129,16,0,0,0,4,0,0,0,0,0,84,2,5,Partidos
181,Marco Fabián,mx MEX,"CC,DL",Mazatlán,33,1989,8.4,391,349,41,10,3,0,29,2,19,4,12,0,289,1,8,Partidos
182,Luis Félix,mx MEX,DF,Tijuana,21,2000,2.3,123,103,20,3,0,2,8,17,0,0,0,0,90,0,2,Partidos
183,Omar Fernández Frasica,co COL,"CC,DL",Puebla,29,1993,17.7,847,805,38,5,2,17,45,13,19,15,0,0,714,4,10,Partidos
184,Gabriel Fernández,uy URU,DL,FC Juárez,28,1994,28.1,574,509,61,2,3,13,26,2,0,0,0,0,386,4,23,Partidos
185,Leonardo Fernández,uy URU,"CC,DL",Toluca,23,1998,20.6,1296,1056,232,96,20,44,188,9,117,34,66,3,938,8,23,Partidos
186,Rafael Fernández,mx MEX,DF,Querétaro,21,2000,15.6,674,614,58,19,1,16,12,39,0,0,0,0,517,2,11,Partidos
187,Luis Fernando Fuentes,mx MEX,DF,América,35,1986,19.6,1155,957,195,10,1,10,91,185,0,0,0,0,937,3,18,Partidos
188,Luis Fernando León,ec ECU,DF,Atlético,29,1993,13.8,480,444,35,30,0,7,2,2,0,0,0,0,372,1,3,Partidos
189,Luis Fernando Quintana,mx MEX,DF,Necaxa,30,1992,0.8,51,51,0,0,0,0,1,0,0,0,0,0,47,0,0,Partidos
190,Gustavo Ferrareis,br BRA,"DF,CC",Puebla,26,1996,26.5,1182,990,189,4,4,27,96,185,0,0,0,0,876,3,40,Partidos
191,Álvaro Fidalgo,es ESP,CC,América,25,1997,29.5,2265,2198,64,51,10,38,22,9,4,1,2,0,2046,3,16,Partidos
192,Carlos Fierro,mx MEX,"DL,CC",FC Juárez,28,1994,3.6,55,53,2,0,0,1,9,2,0,0,0,0,29,0,9,Partidos
193,Sebastián Fierro,mx MEX,CC,UANL,20,2001,1.0,40,38,2,2,0,0,1,0,0,0,0,0,36,0,2,Partidos
194,Abraham Flores,mx MEX,DF,Tijuana,20,2002,1.5,58,36,22,2,0,0,0,20,0,0,0,0,32,0,2,Partidos
195,Edison Flores,pe PER,CC,Atlas,28,1994,9.1,319,303,12,2,2,2,24,1,9,3,3,0,249,4,9,Partidos
196,Fabricio Formiliano,uy URU,DF,Necaxa,29,1993,11.9,525,505,18,17,0,7,0,1,0,0,0,0,434,2,2,Partidos
197,Alexis Francisco Peña,mx MEX,DF,Necaxa,26,1996,33.5,1672,1577,92,64,2,35,4,28,0,0,0,0,1299,3,13,Partidos
198,Nicolás Freire,ar ARG,DF,UNAM,28,1994,31.8,1438,1375,60,51,2,31,0,7,0,0,0,0,1151,3,12,Partidos
199,Adonis Frías,ar ARG,DF,León,24,1998,11.6,530,498,29,27,1,2,0,1,0,0,0,0,449,3,5,Partidos
200,Raymundo Fulgencio,mx MEX,"DL,CC",UANL,22,2000,12.7,529,494,35,2,0,5,75,18,15,6,4,0,409,0,20,Partidos
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,90 s,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Partidos
201,Ramiro Funes Mori,ar ARG,DF,Cruz Azul,31,1991,22.4,1168,1126,40,29,1,17,4,11,0,0,0,0,964,2,7,Partidos
202,Rogelio Funes Mori,mx MEX,DL,Monterrey,31,1991,19.8,430,388,38,0,5,1,9,2,0,0,0,0,296,4,13,Partidos
203,Julio Furch,ar ARG,DL,Atlas,33,1989,20.8,538,487,45,0,4,2,6,1,0,0,0,0,378,6,13,Partidos
204,Alam Galindo,mx MEX,DL,Tijuana,21,2001,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Partidos
205,José Galindo,mx MEX,DF,UNAM,24,1998,10.8,427,389,38,16,0,4,2,22,0,0,0,0,333,0,7,Partidos
206,Jesús Gallardo,mx MEX,DF,Monterrey,27,1994,24.8,1161,932,226,14,2,9,50,209,3,0,3,0,842,3,22,Partidos
207,Isaias Galván,mx MEX,CC,UANL,17,2005,0.2,9,9,0,0,0,0,0,0,0,0,0,0,7,0,0,Partidos
208,Juan Gamboa,mx MEX,"CC,DF",Toluca,21,2001,0.2,13,12,1,0,0,0,1,1,0,0,0,0,11,0,0,Partidos
209,Brian García,mx MEX,DF,Toluca,24,1997,14.8,956,821,134,10,2,10,25,124,0,0,0,0,809,1,14,Partidos
210,Brian García,mx MEX,DF,Necaxa,24,1997,17.0,821,637,182,7,0,10,51,175,0,0,0,0,581,2,11,Partidos
211,Denzell García,mx MEX,CC,FC Juárez,18,2003,10.5,538,526,12,7,1,5,7,0,5,1,4,0,459,0,5,Partidos
212,Emiliano García,mx MEX,CC,Puebla,18,2003,0.2,16,16,0,0,0,0,3,0,0,0,0,0,12,0,2,Partidos
213,Francisco García,mx MEX,DL,América,18,2003,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Partidos
214,Gilberto García,mx MEX,CC,Guadalajara,21,2000,0.2,18,16,2,2,0,0,0,0,0,0,0,0,18,0,0,Partidos
215,Jorge García,mx MEX,CC,Cruz Azul,20,2002,0.2,7,7,0,0,0,0,0,0,0,0,0,0,5,0,1,Partidos
216,José García,mx MEX,DF,Atlético,26,1996,11.0,353,342,11,10,0,13,0,0,0,0,0,0,276,0,5,Partidos
217,Alberto García Jr.,mx MEX,"DL,CC",Querétaro,28,1993,0.3,13,12,0,0,0,0,0,0,0,0,0,0,7,1,2,Partidos
218,Luis García,mx MEX,DL,Puebla,30,1992,8.3,,,,,,,49,,,,,,,,,Partidos
219,Marco García,mx MEX,CC,UNAM,22,2000,4.6,215,201,14,4,1,1,22,3,7,4,3,0,172,0,6,Partidos
220,Matías García,ar ARG,"CC,DF",FC Juárez,30,1991,9.1,394,328,64,26,0,3,44,17,20,12,7,0,289,2,10,Partidos
221,Uziel García,mx MEX,DF,Atlético,21,2001,12.0,476,375,101,3,0,5,26,97,1,0,1,0,316,0,12,Partidos
222,Bryan Garnica,mx MEX,"CC,DL",Necaxa,26,1996,23.4,747,602,139,46,1,3,181,26,67,27,33,0,494,6,29,Partidos
223,Jesús Garza,mx MEX,DF,UANL,22,2000,13.6,813,663,148,8,1,3,45,140,0,0,0,0,642,2,28,Partidos
224,André-Pierre Gignac,fr FRA,DL,UANL,36,1985,29.0,705,656,46,6,0,29,30,5,1,0,0,0,536,3,11,Partidos
225,Milton Giménez,ar ARG,DL,Necaxa,25,1996,16.6,353,320,29,2,1,7,8,1,0,0,0,0,224,4,5,Partidos
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,90 s,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Partidos
226,Santiago Giménez,mx MEX,DL,Cruz Azul,21,2001,4.5,95,81,14,0,0,1,0,1,0,0,0,0,56,0,6,Partidos
227,Rodrigo Godínez,mx MEX,DF,Tijuana,29,1992,12.6,572,486,84,19,0,4,15,65,0,0,0,0,418,2,7,Partidos
228,Alejandro Gómez,mx MEX,DF,Atlas,20,2002,4.0,242,217,25,8,0,3,4,17,0,0,0,0,202,0,0,Partidos
229,Diego Gómez,mx MEX,"CC,DF",Necaxa,18,2003,4.0,139,129,9,3,0,2,5,6,0,0,0,0,108,1,5,Partidos
230,Enrique Gomez,mx MEX,CC,Toluca,18,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Partidos
231,Jaime Gómez Valencia,mx MEX,"CC,DF",FC Juárez,29,1993,8.8,302,285,17,3,0,0,16,14,0,0,0,0,242,0,9,Partidos
232,Alfonso González,mx MEX,"CC,DL",Monterrey,27,1994,25.3,1005,880,118,33,4,7,119,8,77,33,38,0,723,7,24,Partidos
233,Bryan González,mx MEX,"DF,CC",Pachuca,19,2003,2.0,115,102,13,2,0,1,6,11,0,0,0,0,93,0,2,Partidos
234,Pablo González Díaz,mx MEX,CC,Puebla,30,1992,7.2,373,365,8,7,0,16,1,1,0,0,0,0,327,0,1,Partidos
235,Hugo González Durán,mx MEX,PO,Necaxa,31,1990,16.0,580,373,204,30,0,4,0,0,0,0,0,0,380,3,0,Partidos
236,Carlos González Espínola,py PAR,DL,Toluca,29,1993,24.0,482,456,18,0,2,4,3,2,0,0,0,0,333,8,14,Partidos
237,Fernando González,mx MEX,CC,UANL,21,2001,0.1,6,6,0,0,0,0,1,0,0,0,0,0,4,0,0,Partidos
238,Jair González,mx MEX,"CC,DF",Santos,20,2002,15.1,498,453,43,2,2,3,29,40,0,0,0,0,363,2,25,Partidos
239,José González,mx MEX,"DL,CC",Guadalajara,23,1998,5.5,91,85,6,0,0,0,7,2,0,0,0,0,55,0,5,Partidos
240,José González,mx MEX,DL,UNAM,17,2004,1.0,17,16,1,0,0,0,0,1,0,0,0,0,15,0,1,Partidos
241,Lucas González,ar ARG,CC,Santos,22,2000,4.7,228,217,11,4,3,3,6,2,5,3,2,0,195,0,6,Partidos
242,Fernando Gorriarán,uy URU,CC,Santos,27,1994,15.3,948,856,87,56,3,16,36,7,20,6,12,0,739,5,24,Partidos
243,Fernando Gorriarán,uy URU,"CC,DL",UANL,27,1994,12.2,728,649,72,17,5,5,53,14,31,7,16,0,557,7,11,Partidos
244,Ismael Govea,mx MEX,DF,Tijuana,25,1997,25.5,1077,847,227,21,0,6,52,206,0,0,0,0,827,3,24,Partidos
245,Omar Govea,mx MEX,CC,Monterrey,26,1996,3.6,237,226,10,6,6,1,7,1,3,1,1,0,203,1,2,Partidos
246,Axel Grijalva,mx MEX,DF,Monterrey,22,2000,0.6,21,13,8,1,0,1,1,7,0,0,0,0,13,0,2,Partidos
247,Javier Güemez,mx MEX,CC,Atlético,30,1991,27.0,1303,1242,57,48,6,23,7,6,0,0,0,0,1049,4,16,Partidos
248,Rafael Guerrero,mx MEX,DF,Cruz Azul,19,2003,9.3,411,390,20,13,0,9,0,7,0,0,0,0,354,1,3,Partidos
249,Emanuel Gularte,uy URU,DF,Puebla,24,1997,17.4,701,656,44,12,0,9,9,32,0,0,0,0,554,1,16,Partidos
250,Alexis Gutiérrez,mx MEX,CC,Cruz Azul,22,2000,3.5,179,175,4,2,0,1,3,1,1,0,1,0,149,0,9,Partidos
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,90 s,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Partidos
251,Carlos Gutiérrez,mx MEX,"DF,DL",UNAM,23,1999,3.4,144,118,26,1,0,0,17,25,0,0,0,0,105,0,4,Partidos
252,Edson Gutiérrez,mx MEX,DF,Monterrey,26,1996,6.5,235,177,58,0,0,0,13,58,0,0,0,0,178,0,4,Partidos
253,Gustavo Gutiérrez,mx MEX,PO,Toluca,25,1996,2.0,67,43,24,5,0,0,0,0,0,0,0,0,53,0,0,Partidos
254,Ricardo Gutiérrez,mx MEX,PO,Mazatlán,25,1997,12.5,468,310,158,39,0,0,0,0,0,0,0,0,342,0,0,Partidos
255,Carlos Guzmán,mx MEX,DF,Toluca,28,1994,4.8,276,250,25,3,0,4,7,21,0,0,0,0,229,1,2,Partidos
256,Carlos Guzmán,mx MEX,DF,Querétaro,28,1994,4.3,230,168,59,7,0,3,8,52,0,0,0,0,168,3,6,Partidos
257,Nahuel Guzmán,ar ARG,PO,UANL,36,1986,32.5,1164,831,331,78,1,4,0,0,0,0,0,0,878,2,2,Partidos
258,Víctor Guzmán,mx MEX,"CC,DL",Pachuca,27,1995,9.5,360,331,25,11,2,12,32,8,6,2,0,0,254,4,14,Partidos
259,Víctor Guzmán,mx MEX,DF,Tijuana,20,2002,15.5,520,492,25,12,0,1,0,2,0,0,0,0,405,3,1,Partidos
260,Víctor Guzmán,mx MEX,"CC,DL",Guadalajara,27,1995,13.2,632,535,93,31,0,18,93,5,49,18,26,0,445,4,22,Partidos
261,Víctor Guzmán,mx MEX,DF,Monterrey,20,2002,13.7,500,478,21,19,1,0,0,1,0,0,0,0,411,1,3,Partidos
262,Abel Hernández,uy URU,DL,Atlético,31,1990,14.1,217,188,27,0,3,0,1,1,0,0,0,0,151,2,7,Partidos
263,Daniel Hernández,mx MEX,CC,Puebla,20,2002,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,Partidos
264,Elías Hernández,mx MEX,CC,León,34,1988,7.7,368,306,59,15,1,2,63,18,26,16,9,0,262,3,4,Partidos
265,Fernando Hernández,mx MEX,PO,Monterrey,24,1998,0.5,10,6,4,1,0,0,0,0,0,0,0,0,9,0,0,Partidos
266,Illian Hernandez,mx MEX,"DL,CC",Pachuca,22,2000,7.1,127,115,12,0,1,0,0,0,0,0,0,0,92,0,1,Partidos
267,Jesús Hernández,mx MEX,"DL,CC",Pachuca,20,2001,12.4,428,383,43,5,0,1,46,14,24,13,1,0,308,2,21,Partidos
268,Alberto Herrera,mx MEX,"DF,CC",Puebla,21,2001,1.5,81,68,13,2,0,1,8,11,0,0,0,0,62,0,2,Partidos
269,Ozziel Herrera,mx MEX,"CC,DL",Atlas,21,2001,23.8,639,625,13,3,10,5,39,9,0,0,0,0,460,1,31,Partidos
270,Higor,br BRA,CC,UNAM,28,1994,18.7,870,857,11,8,3,1,7,3,0,0,0,0,724,2,13,Partidos
271,Marino Hinestroza,co COL,"DL,CC",Pachuca,20,2002,7.9,212,200,10,1,1,4,16,5,4,2,1,0,160,2,7,Partidos
272,César Huerta,mx MEX,"CC,DL",UNAM,21,2000,17.2,511,482,28,7,5,7,49,20,1,0,0,0,358,1,23,Partidos
273,Valber Huerta,cl CHI,DF,Toluca,28,1993,34.0,2133,2018,110,47,2,19,9,5,0,0,0,0,1874,5,9,Partidos
274,Rodrigo Huescas,mx MEX,"DF,CC",Cruz Azul,18,2003,15.4,768,630,135,11,1,1,38,120,2,0,2,0,587,3,28,Partidos
275,Avilés Hurtado,co COL,"DL,CC",Pachuca,35,1987,23.9,1014,915,94,4,6,17,102,37,52,11,13,0,730,5,45,Partidos
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,90 s,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Partidos
276,Nicolás Ibáñez,ar ARG,DL,Pachuca,27,1994,16.3,321,283,33,0,1,2,13,7,0,0,0,0,237,5,9,Partidos
277,Nicolás Ibáñez,ar ARG,DL,UANL,27,1994,8.8,167,156,10,0,0,0,4,4,0,0,0,0,126,1,2,Partidos
278,Javier Ibarra,mx MEX,CC,León,24,1998,0.8,36,34,2,1,0,0,1,0,0,0,0,0,27,0,0,Partidos
279,Renato Ibarra,ec ECU,"DL,CC",Tijuana,31,1991,6.5,227,202,24,9,1,1,32,0,15,3,11,0,145,1,11,Partidos
280,Romario Ibarra,ec ECU,"DL,CC",Pachuca,27,1994,5.6,153,152,0,0,2,0,9,0,0,0,0,0,115,1,7,Partidos
281,Juan Ignacio Dinenno,ar ARG,DL,UNAM,27,1994,30.9,617,553,61,0,7,7,11,0,0,0,0,0,424,3,34,Partidos
282,Fernando Illescas,mx MEX,"DL,DF",Mazatlán,23,1999,2.0,64,60,4,1,0,1,8,2,0,0,0,0,44,0,6,Partidos
283,Andrés Iniestra,mx MEX,CC,Atlético,26,1996,9.8,363,346,17,9,1,4,9,8,0,0,0,0,296,0,9,Partidos
284,Jefferson Intriago,ec ECU,CC,Mazatlán,26,1996,25.6,1265,1191,69,61,1,14,13,3,1,0,1,0,1105,5,19,Partidos
285,Hugo Isaác Rodríguez,mx MEX,DF,Santos,32,1990,27.8,960,943,17,16,1,7,3,1,0,0,0,0,759,0,8,Partidos
286,Mauricio Isais,mx MEX,DF,Pachuca,21,2001,29.2,1536,1211,318,9,2,13,87,309,0,0,0,0,1101,7,53,Partidos
287,Omar Israel Mendoza,mx MEX,DF,Querétaro,33,1988,22.5,1045,759,283,23,1,12,42,260,0,0,0,0,775,3,23,Partidos
288,Edgar Iván López,mx MEX,DL,Toluca,23,1999,10.0,,,,,,,6,,,,,,,,,Partidos
289,Edgar Iván López,mx MEX,DL,Tijuana,23,1999,6.6,,,,,,,11,,,,,,,,,Partidos
290,José Iván Rodríguez,mx MEX,CC,León,26,1996,21.1,950,894,54,42,0,4,3,4,0,0,0,0,839,2,12,Partidos
291,Kenneth Jaime,mx MEX,DF,UANL,18,2004,0.5,29,21,7,0,0,0,2,7,0,0,0,0,21,1,2,Partidos
292,José de Jesús Godínez,mx MEX,DL,Necaxa,25,1997,2.4,70,69,1,0,0,0,1,0,0,0,0,0,45,0,0,Partidos
293,Cristian Jiménez,mx MEX,CC,Cruz Azul,20,2002,0.5,10,10,0,0,0,1,0,0,0,0,0,0,9,0,0,Partidos
294,Jaiber Jiménez,mx MEX,DF,Cruz Azul,27,1995,3.0,121,96,23,0,0,1,5,22,1,1,0,0,87,2,1,Partidos
295,Oscar Jiménez,mx MEX,PO,América,33,1988,11.0,308,216,91,16,0,0,0,0,0,0,0,0,238,1,1,Partidos
296,Miguel Jiménez Ponce,mx MEX,PO,Guadalajara,32,1990,34.0,927,543,376,54,0,1,0,2,0,0,0,0,608,8,0,Partidos
297,José Joaquín Esquivel,mx MEX,CC,Necaxa,24,1998,28.9,1066,1031,31,28,0,6,5,2,0,0,0,0,859,4,22,Partidos
298,José Joaquín Martínez,mx MEX,"DF,CC",Cruz Azul,35,1987,5.2,221,164,56,2,0,1,3,54,0,0,0,0,175,1,6,Partidos
299,Julio José González,mx MEX,PO,UNAM,31,1991,20.0,560,330,229,59,0,1,0,0,0,0,0,0,424,1,0,Partidos
300,Alberto Joshimar Acosta,mx MEX,DF,FC Juárez,34,1988,10.1,603,488,113,19,0,7,24,92,2,1,1,0,484,2,7,Partidos
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,90 s,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Partidos
301,Joao Joshimar Rojas,ec ECU,"CC,DL",Monterrey,24,1997,1.1,66,58,7,2,0,0,17,0,5,4,0,0,45,1,5,Partidos
302,José Juan Vázquez,mx MEX,CC,Tijuana,34,1988,18.2,785,758,24,17,1,4,5,5,0,0,0,0,677,3,5,Partidos
303,Ramón Juárez,mx MEX,DF,Atlético,21,2001,8.0,209,198,10,7,0,10,0,2,0,0,0,0,157,1,3,Partidos
304,Heriberto Jurado,mx MEX,"CC,DL",Necaxa,17,2005,8.4,244,203,41,10,1,2,78,10,20,7,12,0,158,0,11,Partidos
305,Sebastián Jurado,mx MEX,PO,Cruz Azul,24,1997,11.0,323,181,142,23,0,1,0,0,0,0,0,0,192,0,0,Partidos
306,Mateo Klimowicz,de GER,"CC,DL",Atlético,22,2000,7.2,208,198,9,1,5,3,5,4,1,0,0,0,158,1,9,Partidos
307,Matías Kranevitter,ar ARG,CC,Monterrey,29,1993,8.2,356,346,9,8,1,1,0,1,0,0,0,0,304,1,5,Partidos
308,Roberto de la Rosa,mx MEX,DL,Pachuca,22,2000,17.1,401,375,24,1,0,15,18,1,0,0,0,0,304,2,17,Partidos
309,Diego Lainez,mx MEX,"DL,CC",UANL,22,2000,4.8,201,189,11,7,0,2,14,3,1,0,0,0,146,1,14,Partidos
310,Mauro Laínez,mx MEX,"DL,CC",FC Juárez,26,1996,7.5,258,238,18,3,0,2,44,13,1,1,0,0,183,2,14,Partidos
311,Gibran Lajud,mx MEX,PO,Santos,28,1993,1.0,29,17,12,3,0,0,0,0,0,0,0,0,22,0,0,Partidos
312,Emilio Lara,mx MEX,DF,América,20,2002,20.8,982,824,155,12,0,7,66,143,0,0,0,0,734,3,17,Partidos
313,Israel Larios,mx MEX,CC,Atlas,19,2003,0.1,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0,Partidos
314,Miguel Layún,mx MEX,DF,América,34,1988,16.5,958,799,158,20,1,16,143,117,21,8,9,0,722,1,14,Partidos
315,Federico Lértora,ar ARG,CC,Tijuana,32,1990,29.5,1353,1218,126,56,2,12,11,69,0,0,0,0,998,9,28,Partidos
316,Dario Lezcano,py PAR,"DL,CC",FC Juárez,32,1990,4.8,86,80,6,1,0,0,2,0,0,0,0,0,66,0,3,Partidos
317,Igor Lichnovsky,cl CHI,DF,UANL,28,1994,24.7,1200,1149,50,45,0,12,0,5,0,0,0,0,1011,1,3,Partidos
318,Erik Lira,mx MEX,CC,Cruz Azul,22,2000,28.3,1385,1324,58,39,3,26,8,8,4,1,1,0,1180,3,21,Partidos
319,Aldo Llanas,,CC,Toluca,,,0.0,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,Partidos
320,Aldo López,mx MEX,CC,Santos,22,2000,14.0,609,589,19,10,2,4,2,7,1,1,0,0,560,1,7,Partidos
321,Gabriel López,mx MEX,"DL,CC",Mazatlán,19,2003,0.3,24,24,0,0,0,0,1,0,0,0,0,0,17,0,0,Partidos
322,Raúl López Gómez,mx MEX,DF,Santos,29,1993,10.7,491,403,86,8,2,8,45,75,3,0,3,0,379,2,9,Partidos
323,Raúl López Gómez,mx MEX,DF,Toluca,29,1993,6.3,300,242,57,5,0,3,17,51,1,1,0,0,237,1,12,Partidos
324,Leonel López,mx MEX,CC,Tijuana,28,1994,5.9,342,298,41,18,1,1,22,1,21,3,11,0,285,3,3,Partidos
325,Leonel López,mx MEX,CC,UNAM,28,1994,9.4,551,492,58,29,1,18,38,0,27,13,10,2,462,1,5,Partidos
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,90 s,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Partidos
326,Lisandro López,ar ARG,DF,Tijuana,32,1989,24.7,1041,993,43,41,3,11,2,2,0,0,0,0,824,5,7,Partidos
327,Nicolás López,uy URU,"DL,CC",UANL,28,1993,7.2,307,285,20,5,1,7,38,0,12,5,6,0,232,2,4,Partidos
328,Rodrigo López,mx MEX,CC,Querétaro,34,1987,15.6,581,569,11,3,0,16,26,5,2,0,1,0,456,1,20,Partidos
329,Vladimir Loroña,mx MEX,"DF,CC",UANL,23,1998,6.8,266,210,56,3,0,2,14,53,0,0,0,0,209,0,8,Partidos
330,Augusto Lotti,it ITA,"DL,CC",Cruz Azul,26,1996,6.3,122,114,8,0,1,0,6,1,0,0,0,0,76,0,7,Partidos
331,Brian Lozano,uy URU,"CC,DF",Santos,28,1994,1.2,43,35,8,3,1,5,8,0,5,3,1,0,32,0,0,Partidos
332,Brian Lozano,uy URU,CC,Atlas,28,1994,11.8,566,501,59,18,3,24,70,6,35,13,20,0,418,6,14,Partidos
333,Esteban Lozano,mx MEX,CC,América,19,2003,0.2,3,3,0,0,0,0,0,0,0,0,0,0,2,0,1,Partidos
334,José Lozano,mx MEX,"CC,DF",Santos,23,1998,2.8,115,99,16,2,0,1,12,12,2,1,1,0,78,0,6,Partidos
335,Lucao,br BRA,DF,Puebla,29,1993,16.4,677,607,70,15,0,8,8,52,0,0,0,0,521,0,9,Partidos
336,Israel Luna,mx MEX,"CC,DL",Pachuca,20,2002,9.1,355,339,15,6,0,4,13,7,2,0,0,0,305,1,11,Partidos
337,Darwin Machís,ve VEN,"DL,CC",FC Juárez,29,1993,5.7,153,136,17,5,1,8,23,1,10,2,7,0,98,0,6,Partidos
338,Fernando Madrigal,mx MEX,CC,Necaxa,30,1991,24.0,872,806,59,27,3,12,45,6,24,9,12,0,670,7,17,Partidos
339,José Madueña,mx MEX,"DF,CC",Querétaro,32,1990,4.9,192,154,38,2,1,1,8,36,0,0,0,0,147,0,2,Partidos
340,Joshua Mancha,mx MEX,"DL,DF",Santos,17,2004,0.1,8,8,0,0,0,0,0,0,0,0,0,0,6,0,1,Partidos
341,Federico Mancuello,ar ARG,CC,Puebla,33,1989,32.0,1835,1559,264,103,1,16,181,31,89,47,39,0,1439,12,34,Partidos
342,Mauro Manotas,co COL,"DL,CC",Atlas,27,1995,1.1,23,21,2,0,0,0,2,1,0,0,0,0,15,0,2,Partidos
343,Óscar Manzanarez,mx MEX,DF,Santos,27,1995,4.7,188,143,44,2,0,0,2,42,0,0,0,0,151,1,1,Partidos
344,Javier Marcelo Correa,ar ARG,"DL,CC",Santos,29,1992,20.9,467,417,43,0,2,17,9,7,0,0,0,0,308,7,20,Partidos
345,Jahaziel Marchand,mx MEX,CC,Pachuca,20,2001,0.5,31,29,1,1,0,0,0,0,0,0,0,0,23,1,1,Partidos
346,Salvador Mariscal,mx MEX,CC,Santos,19,2003,6.1,270,265,5,5,1,6,0,0,0,0,0,0,236,0,2,Partidos
347,Ángel Márquez,mx MEX,CC,Atlas,22,2000,18.2,953,903,47,23,3,17,36,9,15,3,11,0,789,3,18,Partidos
348,Henry Martín,mx MEX,DL,América,29,1992,28.3,567,536,30,1,5,1,5,0,0,0,0,0,401,1,24,Partidos
349,Alejandro Martínez,ar ARG,"DF,DL",Tijuana,25,1997,8.7,365,312,52,8,0,5,65,34,9,2,6,0,224,1,20,Partidos
350,Guillermo Martínez Ayala,mx MEX,"DL,CC",Puebla,27,1995,6.4,114,108,6,0,0,0,0,2,0,0,0,0,78,0,4,Partidos
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,90 s,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Partidos
351,Enzo Martínez,uy URU,DF,Pachuca,24,1998,4.8,288,269,18,14,0,3,0,4,0,0,0,0,231,1,1,Partidos
352,Enzo Martínez,uy URU,DF,Querétaro,24,1998,6.2,271,253,18,9,0,11,0,9,0,0,0,0,191,0,2,Partidos
353,Federico Martínez,uy URU,"DL,CC",León,26,1996,5.5,109,92,17,3,0,2,8,3,8,4,0,0,88,0,1,Partidos
354,Emilio Martínez González,mx MEX,DF,Puebla,19,2003,11.7,336,281,55,3,0,1,7,52,0,0,0,0,262,0,3,Partidos
355,Jaziel Martínez,mx MEX,CC,Atlas,21,2000,6.0,382,369,11,5,2,5,12,1,5,0,3,1,307,2,7,Partidos
356,Jaziel Martínez,mx MEX,"CC,DL",Monterrey,21,2000,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,Partidos
357,Juan Martínez,mx MEX,DF,Atlético,23,1999,1.3,34,27,7,0,0,0,3,7,0,0,0,0,26,0,1,Partidos
358,Roger Martínez,co COL,"DL,CC",América,28,1994,4.4,196,191,3,0,0,1,6,2,0,0,0,0,156,2,6,Partidos
359,Román Martínez,mx MEX,"DL,CC",América,19,2002,1.1,15,13,2,0,0,0,0,1,0,0,0,0,13,0,0,Partidos
360,Sebastián Martínez,mx MEX,CC,América,19,2003,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,Partidos
361,Alejandro Mayorga,mx MEX,DF,Cruz Azul,25,1997,4.8,167,119,47,1,0,0,6,45,1,0,1,0,129,1,0,Partidos
