RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
187,Luis Fernando Fuentes,mx MEX,DF,América,35,1986,26,19,1766,19.6,0,1,1,0,0,0,1,0,1.2,1.2,1.5,2.7,46,86,179,0.00,0.05,0.05,0.00,0.05,0.06,0.08,0.14,0.06,0.14,Partidos
188,Luis Fernando León,ec ECU,DF,Atlético,29,1993,14,14,1242,13.8,0,0,0,0,0,0,2,0,0.3,0.3,0.3,0.6,4,29,1,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Partidos
189,Luis Fernando Quintana,mx MEX,DF,Necaxa,30,1992,1,1,71,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.13,0.02,0.15,0.13,0.15,Partidos
190,Gustavo Ferrareis,br BRA,"DF,CC",Puebla,26,1996,31,29,2381,26.5,3,4,7,3,0,0,7,0,2.5,2.5,2.2,4.8,58,82,133,0.11,0.15,0.26,0.11,0.26,0.10,0.08,0.18,0.10,0.18,Partidos
191,Álvaro Fidalgo,es ESP,CC,América,25,1997,34,30,2659,29.5,2,6,8,2,0,0,1,0,1.2,1.2,2.5,3.8,90,346,70,0.07,0.20,0.27,0.07,0.27,0.04,0.09,0.13,0.04,0.13,Partidos
192,Carlos Fierro,mx MEX,"DL,CC",FC Juárez,28,1994,7,5,327,3.6,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.2,6,5,13,0.28,0.00,0.28,0.28,0.28,0.04,0.00,0.04,0.04,0.04,Partidos
193,Sebastián Fierro,mx MEX,CC,UANL,20,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Partidos
194,Abraham Flores,mx MEX,DF,Tijuana,20,2002,3,2,139,1.5,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,2,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
195,Edison Flores,pe PER,CC,Atlas,28,1994,22,7,821,9.1,0,2,2,0,0,0,0,0,1.6,1.6,1.7,3.4,15,35,55,0.00,0.22,0.22,0.00,0.22,0.18,0.19,0.37,0.18,0.37,Partidos
196,Fabricio Formiliano,uy URU,DF,Necaxa,29,1993,14,12,1067,11.9,1,1,2,1,0,0,2,0,0.4,0.4,0.2,0.6,3,38,1,0.08,0.08,0.17,0.08,0.17,0.03,0.01,0.05,0.03,0.05,Partidos
197,Alexis Francisco Peña,mx MEX,DF,Necaxa,26,1996,34,34,3015,33.5,1,1,2,1,0,0,6,0,1.2,1.2,0.5,1.7,20,117,3,0.03,0.03,0.06,0.03,0.06,0.04,0.01,0.05,0.04,0.05,Partidos
198,Nicolás Freire,ar ARG,DF,UNAM,28,1994,32,32,2862,31.8,2,1,3,2,0,0,8,1,0.8,0.7,1.1,1.8,10,118,6,0.06,0.03,0.09,0.06,0.09,0.02,0.04,0.06,0.02,0.06,Partidos
199,Adonis Frías,ar ARG,DF,León,24,1998,13,11,1041,11.6,0,1,1,0,0,0,2,1,0.2,0.2,0.6,0.9,7,41,3,0.00,0.09,0.09,0.00,0.09,0.02,0.05,0.07,0.02,0.07,Partidos
200,Raymundo Fulgencio,mx MEX,"DL,CC",UANL,22,2000,23,13,1143,12.7,1,2,3,1,0,0,4,0,1.7,1.7,1.5,3.2,39,39,123,0.08,0.16,0.24,0.08,0.24,0.13,0.12,0.25,0.13,0.25,Partidos
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
201,Ramiro Funes Mori,ar ARG,DF,Cruz Azul,31,1991,24,24,2013,22.4,1,0,1,1,0,0,4,1,2.3,2.3,0.0,2.3,18,75,6,0.04,0.00,0.04,0.04,0.04,0.10,0.00,0.10,0.10,0.10,Partidos
202,Rogelio Funes Mori,mx MEX,DL,Monterrey,31,1991,23,22,1782,19.8,16,3,19,13,3,4,8,1,13.5,10.3,2.7,13.0,21,35,119,0.81,0.15,0.96,0.66,0.81,0.68,0.14,0.82,0.52,0.66,Partidos
203,Julio Furch,ar ARG,DL,Atlas,33,1989,27,25,1876,20.8,5,2,7,4,1,1,4,1,5.6,4.8,1.4,6.3,11,34,105,0.24,0.10,0.34,0.19,0.29,0.27,0.07,0.34,0.23,0.30,Partidos
204,Alam Galindo,mx MEX,DL,Tijuana,21,2001,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
205,José Galindo,mx MEX,DF,UNAM,24,1998,14,13,970,10.8,0,0,0,0,0,0,5,0,0.1,0.1,0.2,0.4,4,19,6,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Partidos
206,Jesús Gallardo,mx MEX,DF,Monterrey,27,1994,33,24,2231,24.8,5,4,9,5,0,0,6,0,2.3,2.3,5.7,8.0,65,73,124,0.20,0.16,0.36,0.20,0.36,0.09,0.23,0.32,0.09,0.32,Partidos
207,Isaias Galván,mx MEX,CC,UANL,17,2005,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
208,Juan Gamboa,mx MEX,"CC,DF",Toluca,21,2001,2,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,1,7,0.00,0.00,0.00,0.00,0.00,0.09,1.00,1.08,0.09,1.08,Partidos
209,Brian García,mx MEX,DF,Toluca,24,1997,16,14,1333,14.8,2,1,3,2,0,0,5,0,1.7,1.7,1.9,3.5,36,81,77,0.14,0.07,0.20,0.14,0.20,0.11,0.13,0.24,0.11,0.24,Partidos
210,Brian García,mx MEX,DF,Necaxa,24,1997,17,17,1526,17.0,1,2,3,1,0,0,2,0,0.6,0.6,1.0,1.6,25,56,50,0.06,0.12,0.18,0.06,0.18,0.04,0.06,0.09,0.04,0.09,Partidos
211,Denzell García,mx MEX,CC,FC Juárez,18,2003,18,10,943,10.5,1,0,1,1,0,0,0,0,0.7,0.7,0.1,0.9,8,45,8,0.10,0.00,0.10,0.10,0.10,0.07,0.01,0.08,0.07,0.08,Partidos
212,Emiliano García,mx MEX,CC,Puebla,18,2003,2,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,4,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.13,Partidos
213,Francisco García,mx MEX,DL,América,18,2003,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
214,Gilberto García,mx MEX,CC,Guadalajara,21,2000,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
215,Jorge García,mx MEX,CC,Cruz Azul,20,2002,1,0,19,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
216,José García,mx MEX,DF,Atlético,26,1996,12,10,990,11.0,0,0,0,0,0,0,5,0,0.2,0.2,0.0,0.2,1,19,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Partidos
217,Alberto García Jr.,mx MEX,"DL,CC",Querétaro,28,1993,2,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
218,Luis García,mx MEX,DL,Puebla,30,1992,19,8,744,8.3,0,5,5,0,0,0,5,0,,,,,,,,0.00,0.60,0.60,0.00,0.60,,,,,,Partidos
219,Marco García,mx MEX,CC,UNAM,22,2000,17,3,416,4.6,0,0,0,0,0,0,1,0,0.5,0.5,0.9,1.4,11,35,15,0.00,0.00,0.00,0.00,0.00,0.11,0.19,0.30,0.11,0.30,Partidos
220,Matías García,ar ARG,"CC,DF",FC Juárez,30,1991,14,10,816,9.1,1,0,1,1,0,0,4,0,0.5,0.5,1.1,1.6,16,37,36,0.11,0.00,0.11,0.11,0.11,0.06,0.12,0.17,0.06,0.17,Partidos
