RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,90 s,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp,Int.,% Cmp,Cmp,Int.,% Cmp,Cmp,Int.,% Cmp,Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Partidos
518,Gilberto Sepúlveda,mx MEX,DF,Guadalajara,23,1999,32.4,1059,1316,80.5,22346,7937,298,331,90.0,579,659,87.9,174,302,57.6,0,0.5,1.2,-0.5,6,66,4,1,90,Partidos
519,Leonardo Sequeira,ar ARG,"CC,DL",Querétaro,27,1995,11.1,160,230,69.6,2264,583,84,112,75.0,58,75,77.3,5,11,45.5,0,1.6,1.6,-1.6,15,12,9,5,13,Partidos
520,Jordan Sierra,ec ECU,CC,FC Juárez,25,1997,13.7,454,545,83.3,7213,2135,240,271,88.6,168,198,84.8,30,46,65.2,0,0.5,0.8,-0.5,14,50,10,3,65,Partidos
521,Jordan Sierra,ec ECU,"CC,DL",Toluca,25,1997,8.3,343,413,83.1,5336,1419,176,195,90.3,145,174,83.3,17,31,54.8,0,0.8,0.4,-0.8,6,26,9,2,31,Partidos
522,Antony Silva,py PAR,PO,Puebla,38,1984,31.0,583,827,70.5,17033,13136,131,132,99.2,230,239,96.2,205,436,47.0,0,0.0,0.1,0.0,0,20,2,0,0,Partidos
523,Gastón Silva,uy URU,DF,Puebla,28,1994,30.7,1194,1481,80.6,24436,10536,412,454,90.7,601,677,88.8,172,309,55.7,3,1.2,1.0,+1.8,14,83,9,6,88,Partidos
524,Jordan Silva,mx MEX,"DF,CC",Cruz Azul,28,1994,1.1,69,82,84.1,1211,446,33,36,91.7,28,32,87.5,7,11,63.6,0,0.0,0.0,0.0,0,3,0,0,4,Partidos
525,Jordan Silva,mx MEX,DF,Querétaro,28,1994,12.8,495,605,81.8,11879,5015,103,125,82.4,276,304,90.8,113,164,68.9,0,0.4,0.1,-0.4,4,27,0,0,24,Partidos
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,90 s,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp,Int.,% Cmp,Cmp,Int.,% Cmp,Cmp,Int.,% Cmp,Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Partidos
526,Maximiliano Silvera,uy URU,DL,FC Juárez,24,1997,5.4,96,125,76.8,1454,170,53,63,84.1,32,37,86.5,7,11,63.6,0,0.8,0.9,-0.8,8,9,0,0,6,Partidos
